Date,ERIC-B.ST,VOLV-B.ST,ATCO-B.ST,SAND.ST,SKF-B.ST,SWED-A.ST,SSAB-B.ST,NIBE-B.ST,ALFA.ST,HEXA-B.ST,INDU-C.ST,ESSITY-B.ST,TELIA.ST,SECU-B.ST,SCA-B.ST,KINV-B.ST,NDA-SE.ST,SHB-A.ST,SEB-A.ST,SINCH.ST,GETI-B.ST,LATO-B.ST,LIFCO-B.ST,BURE.ST,INVE-B.ST,EVO.ST,SWEC-B.ST,SKA-B.ST,HUSQ-B.ST,ABB.ST,AAPL,MSFT,GOOGL,AMZN,META,NVDA,JPM,V,MA,PG,JNJ,UNH,HD,BAC,XOM,CVX,LLY,ABBV,AVGO,COST,PEP,KO,TMO,ORCL,CRM,AMD,QCOM,TXN,WMT,MCD
2025-08-18,71.1330795288086,277.511962890625,128.45201110839844,233.0025177001953,230.39175415039062,246.4545440673828,53.72100830078125,43.56524658203125,414.87261962890625,106.50382995605469,363.7023010253906,241.34649658203125,33.86716842651367,143.38156127929688,122.15418243408203,85.45999908447266,149.801025390625,107.9317626953125,166.93081665039062,29.719999313354492,199.69662475585938,237.49203491210938,339.7593994140625,272.39910888671875,289.9638671875,847.5999755859375,154.3558349609375,222.63665771484375,54.67381286621094,635.2168579101562,230.04022216796875,512.0384521484375,202.790771484375,231.49000549316406,764.260009765625,181.56472778320312,286.0574951171875,340.0206604003906,580.5224609375,151.27159118652344,171.10964965820312,298.6048583984375,381.66510009765625,46.66032409667969,103.7140884399414,147.78651428222656,693.675048828125,200.3544464111328,302.9842529296875,973.6690673828125,142.33392333984375,66.82733917236328,485.3970031738281,246.26319885253906,241.49757385253906,176.13999938964844,154.77760314941406,189.42445373535156,99.85922241210938,299.2601318359375
2025-08-19,72.02344512939453,285.487548828125,131.22752380371094,238.41661071777344,236.38999938964844,246.63633728027344,55.2035026550293,45.10167694091797,432.67535400390625,107.80204772949219,371.4615783691406,243.27650451660156,33.71452713012695,146.42811584472656,124.82874298095703,86.73999786376953,150.34683227539062,108.15007019042969,166.74314880371094,30.200000762939453,201.25827026367188,243.73155212402344,350.0671691894531,278.5360107421875,293.45977783203125,850.2000122070312,161.4739532470703,227.92628479003906,56.218055725097656,643.0072631835938,229.71145629882812,504.7801818847656,200.8675079345703,228.00999450683594,748.4344482421875,175.2103271484375,285.2038269042969,339.73297119140625,581.884033203125,153.8750457763672,172.6144561767578,294.49102783203125,393.7522888183594,46.816123962402344,104.39437103271484,146.237548828125,698.8027954101562,199.98587036132812,292.2327575683594,975.1603393554688,144.81797790527344,67.79402160644531,496.09979248046875,231.97601318359375,243.50697326660156,166.5500030517578,152.1963653564453,190.99380493164062,100.44429779052734,301.4219055175781
2025-08-20,71.86860656738281,284.9110107421875,129.5232696533203,237.2353515625,236.2916717529297,248.36363220214844,54.637813568115234,44.48710632324219,430.3147888183594,107.15294647216797,369.89007568359375,246.0749969482422,34.14382553100586,148.12063598632812,125.02325439453125,86.0,150.49569702148438,109.80921936035156,167.25924682617188,29.6200008392334,202.2342987060547,240.90428161621094,348.2831115722656,281.3075256347656,291.14556884765625,860.2000122070312,161.66896057128906,227.2650909423828,56.0225830078125,638.4129638671875,225.1781768798828,500.7698669433594,198.62533569335938,223.80999755859375,744.6895751953125,174.97091674804688,286.754150390625,341.2012023925781,589.0095825195312,154.95333862304688,173.6240997314453,290.2320251464844,388.47259521484375,47.079017639160156,105.47310638427734,147.41128540039062,701.018798828125,202.85679626464844,288.5267028808594,988.8008422851562,143.45697021484375,68.34503936767578,492.6350402832031,232.4110565185547,243.95242309570312,165.1999969482422,151.40736389160156,195.70188903808594,101.71361541748047,303.5061950683594
2025-08-21,71.67504119873047,282.1243591308594,128.79287719726562,235.26658630371094,234.52169799804688,250.272705078125,53.408897399902344,43.44629669189453,428.0525817871094,106.60369110107422,367.4346008300781,245.3994903564453,34.25830841064453,147.2501983642578,126.1903305053711,85.63999938964844,148.2132110595703,110.1148452758789,167.30616760253906,29.56999969482422,200.08702087402344,238.564453125,343.32745361328125,280.713623046875,289.1760559082031,855.0,159.91380310058594,225.65928649902344,55.39706802368164,635.2168579101562,224.07228088378906,500.1251525878906,199.0538330078125,221.9499969482422,736.1044921875,174.55191040039062,285.9986572265625,340.963134765625,588.2542724609375,154.19561767578125,173.71148681640625,293.6296081542969,384.5660705566406,46.99138641357422,106.15339660644531,149.65296936035156,705.3712768554688,203.19625854492188,286.970947265625,964.05517578125,141.79141235351562,68.3063735961914,481.6336364746094,230.532470703125,243.33872985839844,163.7100067138672,150.13136291503906,195.64341735839844,97.14210510253906,303.64190673828125
2025-08-22,73.12673950195312,288.2742004394531,132.44485473632812,239.69630432128906,242.38824462890625,252.0,54.28669357299805,45.656776428222656,437.59326171875,109.05033111572266,373.0330505371094,246.364501953125,34.22968673706055,147.6854248046875,129.788818359375,87.80000305175781,149.15597534179688,110.63878631591797,169.18284606933594,30.200000762939453,203.40553283691406,244.51150512695312,347.0937805175781,287.44439697265625,293.65673828125,860.0,162.8390655517578,230.0043487548828,56.49171829223633,641.8087158203125,226.9217529296875,503.09075927734375,205.3717498779297,228.83999633789062,751.73095703125,177.55458068847656,290.6790771484375,347.26275634765625,595.250732421875,154.1373291015625,174.06097412109375,297.5691833496094,399.1576843261719,48.1793212890625,108.1456527709961,152.18324279785156,707.2196655273438,204.26318359375,291.3310241699219,952.9797973632812,142.4195556640625,67.79402160644531,497.7922668457031,233.70628356933594,245.7737579345703,167.75999450683594,153.91070556640625,200.8583526611328,96.02153778076172,304.4659118652344
2025-08-25,73.28158569335938,284.5266418457031,130.6431884765625,238.02285766601562,241.20826721191406,250.4545440673828,54.34521484375,42.01890182495117,429.9213562011719,107.302734375,371.9526672363281,248.58399963378906,34.03888702392578,145.70272827148438,128.81625366210938,88.36000061035156,148.16358947753906,111.03174591064453,168.4321746826172,30.40999984741211,202.72232055664062,241.9766845703125,340.7505187988281,288.4342346191406,292.1303405761719,860.4000244140625,160.10882568359375,226.50941467285156,55.37752151489258,638.2131958007812,226.323974609375,500.14495849609375,207.76336669921875,227.94000244140625,750.2469482421875,179.3701171875,289.3642272949219,346.05242919921875,589.5362548828125,151.6893310546875,173.20664978027344,295.0911865234375,395.3961486816406,48.1793212890625,108.59268951416016,152.2025146484375,690.9721069335938,201.30494689941406,291.5589294433594,936.1182250976562,141.04904174804688,66.63400268554688,488.5928955078125,232.7571258544922,245.3580322265625,163.36000061035156,152.36195373535156,200.77061462402344,95.26788330078125,303.8551940917969
2025-08-26,73.7074203491211,282.9891662597656,131.66575622558594,237.33380126953125,240.61827087402344,247.99998474121094,53.99409866333008,40.94835662841797,426.2821044921875,107.45252990722656,369.3007507324219,244.82049560546875,33.79084777832031,144.10693359375,128.23272705078125,85.72000122070312,147.32005310058594,109.80921936035156,166.79006958007812,29.889999389648438,204.6743927001953,237.68701171875,338.76824951171875,283.88104248046875,289.61920166015625,853.4000244140625,157.08607482910156,223.86460876464844,53.95056915283203,642.6077880859375,228.46603393554688,497.94305419921875,206.41807556152344,228.7100067138672,751.0437622070312,181.32533264160156,292.96539306640625,348.3936767578125,587.9461669921875,151.51446533203125,172.600341796875,290.80316162109375,394.0810852050781,48.9290771484375,108.34972381591797,151.39434814453125,731.4171142578125,202.090576171875,295.3045654296875,935.8795776367188,139.90696716308594,66.44066619873047,486.3328857421875,231.57064819335938,241.2698974609375,166.6199951171875,155.0406036376953,200.78036499023438,95.24806213378906,303.3704528808594
2025-08-27,73.32029724121094,280.29864501953125,130.3997344970703,236.54629516601562,239.92994689941406,243.90907287597656,53.15531539916992,39.877811431884766,430.7082214355469,106.70355224609375,369.6936340332031,247.9084930419922,33.89578628540039,143.3332061767578,126.57935333251953,86.26000213623047,145.484130859375,107.45148468017578,164.5849609375,29.510000228881836,201.55108642578125,236.22462463378906,337.38067626953125,281.70343017578125,289.9638671875,853.0,158.938720703125,223.20339965820312,53.75509262084961,641.0097045898438,229.6417236328125,502.604736328125,206.7568817138672,229.1199951171875,744.3510131835938,181.15576171875,293.6620178222656,347.5702819824219,587.0020751953125,152.47618103027344,172.89370727539062,294.1426086425781,394.7579345703125,49.055660247802734,109.57424926757812,153.2030792236328,729.5686645507812,201.7996063232422,297.5242614746094,944.0121459960938,140.5160675048828,66.53732299804688,485.9744873046875,233.15260314941406,247.6248321533203,167.1300048828125,155.62503051757812,200.2832489013672,95.27780151367188,301.9066467285156
2025-08-28,72.913818359375,280.8751525878906,132.29876708984375,237.6291046142578,241.10992431640625,242.1818084716797,52.96025085449219,39.362361907958984,428.9377746582031,107.302734375,370.6758117675781,245.97848510742188,33.51418685913086,140.23829650878906,125.50953674316406,85.95999908447266,144.09478759765625,106.84021759033203,164.1157989501953,29.709999084472656,201.25827026367188,236.02964782714844,336.9842529296875,284.4749450683594,288.9298400878906,850.5999755859375,157.67111206054688,222.73110961914062,53.383697509765625,641.8087158203125,231.70408630371094,505.4810791015625,210.90237426757812,231.60000610351562,748.0658569335938,179.72923278808594,295.4184265136719,347.0841369628906,586.8231811523438,151.20359802246094,171.58323669433594,292.60357666015625,393.9940490722656,49.16276931762695,110.1573486328125,153.28004455566406,727.37255859375,201.66380310058594,305.84796142578125,939.478515625,139.88790893554688,66.08299255371094,487.5873107910156,237.61178588867188,251.95053100585938,168.5800018310547,156.62832641601562,198.93807983398438,95.30755615234375,302.6724548339844
2025-08-29,72.87511444091797,279.5298767089844,130.93536376953125,235.3650360107422,238.65162658691406,242.0,52.33604049682617,38.48015594482422,423.42974853515625,105.20561218261719,369.6936340332031,246.65399169921875,33.676368713378906,139.9965057373047,125.16913604736328,84.9000015258789,143.54896545410156,106.22895812988281,164.1627197265625,29.549999237060547,202.2342987060547,234.0797882080078,333.01971435546875,280.5156555175781,286.91107177734375,820.0,155.62344360351562,221.7865447998047,52.464969635009766,635.6163940429688,231.28562927246094,502.5551452636719,212.16796875,229.0,735.7061767578125,173.75387573242188,295.7618713378906,348.98895263671875,591.6033935546875,152.5538787841797,173.2653350830078,299.9406433105469,393.33648681640625,49.40620040893555,111.07086181640625,154.5115203857422,727.9886474609375,204.06919860839844,294.69024658203125,937.8480834960938,141.47732543945312,66.6919937133789,490.55426025390625,223.58169555664062,253.6531219482422,162.6300048828125,156.5601348876953,197.36871337890625,96.1702880859375,303.95208740234375
